scenario,estimate_index,now_us,fsm_state,tg_us,W_sec,S_sec,tau_hat_sec,m1_hat,m2_hat,m3_hat,Y_hat,sigma_Y,has_significance,is_low_rate,is_degraded,is_stats_bound,insufficient_statistics,model_mismatch,debug_event_count,debug_bins_with_counts
slowly_drifting_rate,40,10000150,Warmup,500,2,0.2,0.0004180754087618942,0.5595,0.313,0.159,-7.193923145669247E-05,0.02103029161920428,False,False,False,False,True,False,2239,2184
slowly_drifting_rate,41,10200150,Warmup,500,2,0.2,0.00027955874770974184,0.56375,0.3225,0.198,0.008312084257206235,0.023807080672062664,False,False,False,False,True,False,2256,2202
slowly_drifting_rate,42,10400150,Warmup,500,2,0.2,0.000125,0.56575,0.328,0.20550000000000002,0.014011378700839707,0.024280731195707766,False,False,False,False,True,False,2264,2206
slowly_drifting_rate,43,10600150,Warmup,500,2,0.2,0.00027955874770974184,0.5760000000000001,0.332,0.20550000000000002,0.0003888888888887959,0.02389809188310048,False,False,False,False,True,False,2305,2246
slowly_drifting_rate,44,10800150,Warmup,500,2,0.2,0.000125,0.57575,0.336,0.2145,0.007836626139817738,0.024566969334437864,False,False,False,False,True,False,2304,2244
slowly_drifting_rate,45,11000150,Warmup,500,2,0.2,0.000125,0.5710000000000001,0.334,0.2235,0.013938704028020906,0.02498489650874218,False,False,False,False,True,False,2285,2222
slowly_drifting_rate,46,11200150,Warmup,500,2,0.2,0.000125,0.58675,0.3525,0.24,0.014016936514699641,0.02500175248118026,False,False,False,False,True,False,2348,2284
slowly_drifting_rate,47,11400150,Warmup,500,2,0.2,0.0013982963792914008,0.595,0.357,0.23850000000000002,0.00500000000000001,0.024641860691880426,False,False,False,False,True,False,2381,2315
slowly_drifting_rate,48,11600150,Warmup,500,2,0.2,0.002091128734592475,0.6002500000000001,0.3705,0.2505,0.016992815493544224,0.024682929526988293,False,False,False,False,True,False,2402,2329
slowly_drifting_rate,49,11800150,Warmup,500,2,0.2,0.0009350131017737087,0.598,0.3635,0.2445,0.009859531772575272,0.024696948772742467,False,False,False,False,True,False,2393,2319
slowly_drifting_rate,50,12000150,Warmup,500,2,0.2,0.0007645870325492904,0.60175,0.362,0.2445,-0.0001712712920648583,0.024504954254513076,False,False,False,False,True,False,2408,2333
sudden_jump_rate,0,2008550,Warmup,500,2,0.2,0.0005112642094104177,0.15625,0.022,0.0045000000000000005,-0.015450000000000009,0.022246500186095478,False,False,False,False,True,False,626,623
sudden_jump_rate,1,2208550,Warmup,500,2,0.2,0.0009350131017737087,0.155,0.024,0.006,-0.00016129032258064977,0.023957562478977703,False,False,False,False,True,False,621,618
sudden_jump_rate,2,2408550,Warmup,500,2,0.2,0.0007645870325492904,0.1575,0.0245,0.006,-0.0019444444444444505,0.023713920473444908,False,False,False,False,True,False,631,628
sudden_jump_rate,3,2608550,Warmup,500,2,0.2,0.000125,0.15425,0.0275,0.012,0.02403200972447326,0.02970753120053643,False,False,False,False,True,False,618,613
sudden_jump_rate,4,2808550,Warmup,500,2,0.2,0.0009350131017737087,0.15175,0.024,0.0105,0.0064048599670510865,0.028744816705363833,False,False,False,False,True,False,608,603
sudden_jump_rate,5,3008550,Warmup,500,2,0.2,0.0013982963792914008,0.15475,0.026000000000000002,0.0105,0.013262924071082417,0.0285228478101199,False,False,False,False,True,False,620,615
sudden_jump_rate,6,3208550,Warmup,500,2,0.2,0.000125,0.1495,0.025500000000000002,0.0105,0.021068561872909723,0.029362755661441642,False,False,False,False,True,False,599,594
sudden_jump_rate,7,3408550,Warmup,500,2,0.2,0.0006252247473683123,0.14875,0.022,0.009000000000000001,-0.0008508403361344534,0.027943471850476145,False,False,False,False,True,False,596,592
sudden_jump_rate,8,3608550,Warmup,500,2,0.2,0.00027955874770974184,0.14825,0.021,0.009000000000000001,-0.006597386172006732,0.02785032616354949,False,False,False,False,True,False,594,590
sudden_jump_rate,9,3808550,Warmup,500,2,0.2,0.0011434270570526996,0.148,0.024,0.009000000000000001,0.01416216216216219,0.02841172261910463,False,False,False,False,True,False,593,591
sudden_jump_rate,10,4008550,Warmup,500,2,0.2,0.0009350131017737087,0.145,0.0225,0.0075,0.010172413793103453,0.027618132368253636,False,False,False,False,True,False,581,579
sudden_jump_rate,11,4208550,Warmup,500,2,0.2,0.0005112642094104177,0.146,0.022,0.006,0.004684931506849319,0.026233747745750886,False,False,False,False,True,False,585,583
sudden_jump_rate,12,4408550,Warmup,500,2,0.2,0.0013982963792914008,0.14125000000000001,0.022,0.0075,0.01450221238938048,0.028191507387697382,False,False,False,False,True,False,566,563
sudden_jump_rate,13,4608550,Warmup,500,2,0.2,0.0007645870325492904,0.13975,0.018000000000000002,0.0015,-0.01094856887298749,0.020510086346519178,False,False,False,False,True,False,560,559
sudden_jump_rate,14,4808550,Warmup,500,2,0.2,0.0007645870325492904,0.14150000000000001,0.0185,0.0015,-0.010757950530035379,0.02045303709560081,False,False,False,False,True,False,567,566
sudden_jump_rate,15,5008550,Warmup,500,2,0.2,0.0002286032066600048,0.14175000000000001,0.017,0.0015,-0.02182054673721343,0.019921052203783044,False,False,False,False,True,False,568,567
sudden_jump_rate,16,5208550,Warmup,500,2,0.2,0.0006252247473683123,0.14250000000000002,0.018000000000000002,0.0015,-0.016184210526315808,0.02016636684941171,False,False,False,False,True,False,571,569
sudden_jump_rate,17,5408550,Warmup,500,2,0.2,0.0009350131017737087,0.145,0.019,0.0015,-0.013965517241379304,0.0201822196431404,False,False,False,False,True,False,581,579
sudden_jump_rate,18,5608550,Warmup,500,2,0.2,0.0009350131017737087,0.14725,0.021,0.0015,-0.004635398981324261,0.020502528707464596,False,False,False,False,True,False,590,586
sudden_jump_rate,19,5808550,Warmup,500,2,0.2,0.0009350131017737087,0.14625,0.021,0.0015,-0.0026602564102563785,0.020622423626830793,False,False,False,False,True,False,586,582
sudden_jump_rate,20,6008550,Warmup,500,2,0.2,0.00034187225351249784,0.15225,0.0275,0.0105,0.028373973727422022,0.029151226073735815,False,False,False,False,True,False,610,606
sudden_jump_rate,21,6208550,Track,500,2,0.2,0.0004180754087618942,0.2945,0.3025,0.549,0.7326646859083191,0.07440118910232113,True,False,False,False,False,True,1179,1114
sudden_jump_rate,22,7208550,Track,500,2,1,0.0004180754087618942,0.973,1.4445000000000001,2.307,0.511583761562179,0.03209757792400468,True,False,False,False,False,True,3893,3612
